components,proportion_noise,ratio_white,dataset,model_type,result_filenumber,reconstruction_error,train_time
1,0.1,0.5,orl,l21,0,0.29481165923910835,10.52155
1,0.1,0.5,orl,l2,1,0.2947625911572315,8.56804
10,0.1,0.5,orl,l21,2,0.2098577452187722,8.334668
10,0.1,0.5,orl,l2,3,0.2092178612964193,6.640409
100,0.1,0.5,orl,l21,4,0.2450290107240958,14.715997
100,0.1,0.5,orl,l2,5,0.24503553654174234,11.14974
1,0.2,0.5,orl,l21,6,0.3000483694367892,10.63874
1,0.2,0.5,orl,l2,7,0.29979723093096045,8.839936
10,0.2,0.5,orl,l21,8,0.23202594976781468,8.484185
10,0.2,0.5,orl,l2,9,0.2304499820992849,6.568315
100,0.2,0.5,orl,l21,10,0.33689488698462555,14.736406
100,0.2,0.5,orl,l2,11,0.33808189562580243,11.265595
1,0.4,0.5,orl,l21,12,0.3183816631616402,10.851531
1,0.4,0.5,orl,l2,13,0.3187888135619849,9.213295
10,0.4,0.5,orl,l21,14,0.29886258543467925,8.675942
10,0.4,0.5,orl,l2,15,0.29677887236071276,6.607689
100,0.4,0.5,orl,l21,16,0.47091095486462453,15.126755
100,0.4,0.5,orl,l2,17,0.47755196501933445,11.343347
1,0.1,0.2,orl,l21,18,0.298790165832817,10.891531
1,0.1,0.2,orl,l2,19,0.29870394008680534,8.834617
10,0.1,0.2,orl,l21,20,0.21352887779481547,8.856541
10,0.1,0.2,orl,l2,21,0.21417814022902623,6.655238
100,0.1,0.2,orl,l21,22,0.23567666262228948,14.791827
100,0.1,0.2,orl,l2,23,0.2361010304055116,11.390346
1,0.2,0.2,orl,l21,24,0.3154596565770997,10.560018
1,0.2,0.2,orl,l2,25,0.3151357145599702,8.757428
10,0.2,0.2,orl,l21,26,0.249156675287623,8.580652
10,0.2,0.2,orl,l2,27,0.24708725845887988,6.687372
100,0.2,0.2,orl,l21,28,0.3269000857875772,14.974461
100,0.2,0.2,orl,l2,29,0.3284821554701086,11.719568
1,0.4,0.2,orl,l21,30,0.37213113425704053,10.673612
1,0.4,0.2,orl,l2,31,0.3721086161285444,8.833305
10,0.4,0.2,orl,l21,32,0.3456453000455756,8.710379
10,0.4,0.2,orl,l2,33,0.3447674530325905,6.643985
100,0.4,0.2,orl,l21,34,0.4712409294565999,16.108664
100,0.4,0.2,orl,l2,35,0.4743577942821493,12.163402
1,0.1,0.8,orl,l21,36,0.3040353059712954,10.686958
1,0.1,0.8,orl,l2,37,0.3038565701056009,8.860171
10,0.1,0.8,orl,l21,38,0.2222364775546275,8.812574
10,0.1,0.8,orl,l2,39,0.22249043146219835,6.75562
100,0.1,0.8,orl,l21,40,0.26541881403820705,18.077817
100,0.1,0.8,orl,l2,41,0.26733070414494825,12.615705
1,0.2,0.8,orl,l21,42,0.33415426224834516,11.456863
1,0.2,0.8,orl,l2,43,0.33405593111329995,9.363303
10,0.2,0.8,orl,l21,44,0.2755798442230076,9.351179
10,0.2,0.8,orl,l2,45,0.2752876234227137,7.049996
100,0.2,0.8,orl,l21,46,0.37581519397153035,15.703515
100,0.2,0.8,orl,l2,47,0.3793034199169759,12.1111
1,0.4,0.8,orl,l21,48,0.4334412706135651,10.942104
1,0.4,0.8,orl,l2,49,0.4329270059473278,9.806782
10,0.4,0.8,orl,l21,50,0.4181381231038394,10.577419
10,0.4,0.8,orl,l2,51,0.41419952785099606,7.770554
100,0.4,0.8,orl,l21,52,0.5533489200112556,16.322614
100,0.4,0.8,orl,l2,53,0.5549419018271172,12.987706
20,0.1,0.5,orl,l21,108,0.1992880478286039,10.795178
20,0.1,0.5,orl,l2,109,0.19839773901510108,8.070602
200,0.1,0.5,orl,l21,110,0.28936512481550186,23.823484
200,0.1,0.5,orl,l2,111,0.29073055223962957,18.60812
500,0.1,0.5,orl,l21,112,0.34581805948643823,55.733321
500,0.1,0.5,orl,l2,113,0.3496803703702423,47.481523
20,0.2,0.5,orl,l21,114,0.24072634833240067,10.073389
20,0.2,0.5,orl,l2,115,0.23957329667814142,7.90703
200,0.2,0.5,orl,l21,116,0.4028132032880052,26.049203
200,0.2,0.5,orl,l2,117,0.4081443941934676,19.134118
500,0.2,0.5,orl,l21,118,0.4890344691791672,57.771095
500,0.2,0.5,orl,l2,119,0.49842387479078026,50.460447
20,0.4,0.5,orl,l21,120,0.3294460214427574,11.225321
20,0.4,0.5,orl,l2,121,0.3316988441241212,8.425866
200,0.4,0.5,orl,l21,122,0.5652584016479614,29.341448
200,0.4,0.5,orl,l2,123,0.5768848593294909,19.356014
500,0.4,0.5,orl,l21,124,0.6912587125516518,68.496415
500,0.4,0.5,orl,l2,125,0.7082971117664741,60.553092
20,0.1,0.2,orl,l21,126,0.2023377862338181,9.424964
20,0.1,0.2,orl,l2,127,0.20187013642708335,7.268902
200,0.1,0.2,orl,l21,128,0.27181838500474703,22.588289
200,0.1,0.2,orl,l2,129,0.2724182523818248,18.455011
500,0.1,0.2,orl,l21,130,0.3204312853727811,57.254594
500,0.1,0.2,orl,l2,131,0.3231917821179455,44.909897
20,0.2,0.2,orl,l21,132,0.25201921191181986,9.653489
20,0.2,0.2,orl,l2,133,0.2515527674145583,7.382272
200,0.2,0.2,orl,l21,134,0.38225084996544356,23.198313
200,0.2,0.2,orl,l2,135,0.3858792570809294,17.563264
500,0.2,0.2,orl,l21,136,0.4564489587551627,57.720211
500,0.2,0.2,orl,l2,137,0.46552020015018997,53.254269
20,0.4,0.2,orl,l21,138,0.36803961110118566,9.390284
20,0.4,0.2,orl,l2,139,0.3674191830075548,7.317445
200,0.4,0.2,orl,l21,140,0.5472148679317701,33.355797
200,0.4,0.2,orl,l2,141,0.5578081216141683,18.317802
500,0.4,0.2,orl,l21,142,0.6526862074963112,78.381601
500,0.4,0.2,orl,l2,143,0.664353668427211,75.436542
20,0.1,0.8,orl,l21,144,0.21380066392270008,9.473194
20,0.1,0.8,orl,l2,145,0.21435216908097118,7.357467
200,0.1,0.8,orl,l21,146,0.31257763519526555,22.151917
200,0.1,0.8,orl,l2,147,0.31733754266683534,17.585507
500,0.1,0.8,orl,l21,148,0.36929046424452844,51.401765
500,0.1,0.8,orl,l2,149,0.37282201526574693,44.438675
20,0.2,0.8,orl,l21,150,0.2850743685141363,9.237813
20,0.2,0.8,orl,l2,151,0.2844517441305193,7.189683
200,0.2,0.8,orl,l21,152,0.44147977638651653,22.290871
200,0.2,0.8,orl,l2,153,0.4482274796148441,17.347724
500,0.2,0.8,orl,l21,154,0.5208879040455111,52.05147
500,0.2,0.8,orl,l2,155,0.5273938884995658,45.414832
20,0.4,0.8,orl,l21,156,0.43997969908426304,9.639765
20,0.4,0.8,orl,l2,157,0.4401211787579291,7.356603
200,0.4,0.8,orl,l21,158,0.6312968312269076,22.692391
200,0.4,0.8,orl,l2,159,0.6390959001309641,17.34685
500,0.4,0.8,orl,l21,160,0.7321720665046727,51.910117
500,0.4,0.8,orl,l2,161,0.7434452786530202,45.38356
1000,0.1,0.5,orl,l21,216,0.3537298794851841,97.900616
1000,0.1,0.5,orl,l2,217,0.3542591972583424,76.388149
1000,0.2,0.5,orl,l21,218,0.5013612813051141,94.454622
1000,0.2,0.5,orl,l2,219,0.500992226988443,80.62291
1000,0.4,0.5,orl,l21,220,0.7084315134037673,104.060906
1000,0.4,0.5,orl,l2,221,0.7083174214598315,97.799195
1000,0.1,0.2,orl,l21,222,0.33147594718248913,100.943841
1000,0.1,0.2,orl,l2,223,0.33125203143175225,83.97033
1000,0.2,0.2,orl,l21,224,0.4685355176945535,104.590681
1000,0.2,0.2,orl,l2,225,0.4688157672252184,86.574352
1000,0.4,0.2,orl,l21,226,0.6646795875750713,128.056655
1000,0.4,0.2,orl,l2,227,0.6644688955965692,114.020622
1000,0.1,0.8,orl,l21,228,0.3752965470768076,98.58453
1000,0.1,0.8,orl,l2,229,0.37472278804657183,78.50265
1000,0.2,0.8,orl,l21,230,0.5299412772211012,91.929888
1000,0.2,0.8,orl,l2,231,0.5308906961425225,77.306044
1000,0.4,0.8,orl,l21,232,0.7502807292555664,93.249158
1000,0.4,0.8,orl,l2,233,0.750406460680348,79.703744
1,0.1,0.5,yale,l21,1054,0.5365395756511719,96.28327
1,0.1,0.5,yale,l2,1055,0.5366946146972045,66.905456
10,0.1,0.5,yale,l21,1056,0.27446746389948323,101.867037
10,0.1,0.5,yale,l2,1057,0.2751136910299088,64.373841
100,0.1,0.5,yale,l21,1058,0.24824324860534538,152.363862
100,0.1,0.5,yale,l2,1059,0.24761605104585985,79.047218
1,0.2,0.5,yale,l21,1060,0.5518916782804214,99.317583
1,0.2,0.5,yale,l2,1061,0.552274249973203,70.327501
10,0.2,0.5,yale,l21,1062,0.3179300265781573,100.272816
10,0.2,0.5,yale,l2,1063,0.31653532023272946,61.421892
100,0.2,0.5,yale,l21,1064,0.35916254928833086,161.582752
100,0.2,0.5,yale,l2,1065,0.3580878808881896,82.819588
1,0.4,0.5,yale,l21,1066,0.6102397697427909,102.214124
1,0.4,0.5,yale,l2,1067,0.6107276741739159,69.496408
10,0.4,0.5,yale,l21,1068,0.4518797888454925,106.153174
10,0.4,0.5,yale,l2,1069,0.45105920592237436,65.926899
100,0.4,0.5,yale,l21,1070,0.5608212129187085,155.932469
100,0.4,0.5,yale,l2,1071,0.5604148258883443,80.15907
1,0.1,0.2,yale,l21,1072,0.5332874784139116,100.110378
1,0.1,0.2,yale,l2,1073,0.5332088632795184,72.968321
10,0.1,0.2,yale,l21,1074,0.265890091525088,106.452256
10,0.1,0.2,yale,l2,1075,0.26649222915126836,67.211205
100,0.1,0.2,yale,l21,1076,0.21071664682664482,155.208871
100,0.1,0.2,yale,l2,1077,0.21107213701879107,77.635641
1,0.2,0.2,yale,l21,1078,0.5391944212010708,97.389196
1,0.2,0.2,yale,l2,1079,0.5391757996436113,70.811512
10,0.2,0.2,yale,l21,1080,0.29224136082419816,103.825483
10,0.2,0.2,yale,l2,1081,0.29248980335071184,64.23135
100,0.2,0.2,yale,l21,1082,0.2919479526337489,150.950153
100,0.2,0.2,yale,l2,1083,0.29186265507364073,82.926923
1,0.4,0.2,yale,l21,1084,0.5622294842407438,100.729892
1,0.4,0.2,yale,l2,1085,0.5621401438915227,71.219069
10,0.4,0.2,yale,l21,1086,0.3752997735474665,105.781389
10,0.4,0.2,yale,l2,1087,0.3751110098865693,61.784406
100,0.4,0.2,yale,l21,1088,0.4445842424469567,154.330884
100,0.4,0.2,yale,l2,1089,0.4441354234103543,93.898413
1,0.1,0.8,yale,l21,1090,0.5518242179454933,120.759727
1,0.1,0.8,yale,l2,1091,0.5522744464604367,72.2643
10,0.1,0.8,yale,l21,1092,0.3045682296154162,104.129269
10,0.1,0.8,yale,l2,1093,0.30507597452017593,65.765264
100,0.1,0.8,yale,l21,1094,0.30418634674042033,157.155159
100,0.1,0.8,yale,l2,1095,0.3039262113231141,81.834881
1,0.2,0.8,yale,l21,1096,0.6102629333215965,104.646911
1,0.2,0.8,yale,l2,1097,0.611069686589956,71.267292
10,0.2,0.8,yale,l21,1098,0.41247309423272116,103.73905
10,0.2,0.8,yale,l2,1099,0.41225341973786994,67.034246
100,0.2,0.8,yale,l21,1100,0.47168065450886937,233.887807
100,0.2,0.8,yale,l2,1101,0.47416443411653986,149.284572
1,0.4,0.8,yale,l21,1102,0.8005883942055829,199.426509
1,0.4,0.8,yale,l2,1103,0.8016199760820691,135.287029
10,0.4,0.8,yale,l21,1104,0.6895000280415924,210.299164
10,0.4,0.8,yale,l2,1105,0.6919096732358334,123.589463
100,0.4,0.8,yale,l21,1106,0.7837641048915495,350.741534
100,0.4,0.8,yale,l2,1107,0.7837334939145598,160.526388
20,0.1,0.5,yale,l21,1162,0.248439949587302,149.410299
20,0.1,0.5,yale,l2,1163,0.24820393188441248,129.311839
